SMILES,MolecularWeight,LogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA
OC(=O)c1ccc(O)cc1O,154.026608672,0.7959999999999998,1,3,3,77.76
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1F)C(=O)NCC#N,321.14886972000005,1.9012799999999999,5,4,2,91.22
NC(CC(=O)N)C(=O)NC(=S)NCCc1ccc(cc1)S(=O)(=O)N,373.087846088,-1.9300999999999977,7,6,5,170.4
CC[C@@H](Cc1ccccc1)OC(=O)NN(C)C#N,247.132076784,2.0617799999999997,5,4,1,65.36
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)C(S)CCCNS(=O)(=O)C,500.21271225199996,0.6186000000000011,14,6,5,133.47
COC(=O)CCNS(=O)(=O)Oc1ccccc1O,275.04635813600004,0.16849999999999976,6,6,2,101.93
OP(=O)(O)C(Nc1ccc(cc1)[N+](=O)[O-])P(=O)(O)O,311.9912385399999,0.6456999999999995,5,5,5,170.23
COc1ccc(cc1)S(=O)(=O)N(CC#C)[C@H](C(C)C)C(=O)NO,340.10929273999994,0.8491,7,5,2,95.94000000000001
NC\C(=C\F)\CCc1ccc(F)cc1,197.101605856,2.570400000000001,4,1,1,26.02
Cc1cc(C)cc(c1)C(=O)NOCCCCCC(=O)NO,294.157957184,2.03064,8,4,3,87.66
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.14005462399996,2.0023999999999997,7,4,2,67.59
Nc1ccc(cc1)S(=O)(=O)NCCC(F)Cl,266.029204524,1.4716,5,3,2,72.19
CCCCCCCCc1ccc(CCC(N)CCP(=O)(O)O)cc1,355.2276305779999,4.417300000000005,13,2,3,83.55000000000001
NCc1ccc(cc1)S(=O)(=O)N,186.04629856,-0.20729999999999993,2,3,2,86.18
CNC(=O)[C@@H](NC(=O)[C@@H]([C@H](CO)C(=O)NO)c1ccc(OC)cc1)C(C)(C)C,395.205635648,0.1696000000000022,8,6,5,136.99
COc1cc(cc(OC)c1O)C(=O)O,198.05282342,1.1075999999999997,3,4,2,75.99
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,281.10513191609,2.5981000000000005,3,2,1,38.33
COc1cc(O)c(\C=C/C(=O)O)cc1[C@@H](O)CC(C)C,280.13107374000003,2.578100000000001,6,4,3,86.99000000000001
ONC(=O)CCCc1ccccc1,179.094628656,1.5146999999999997,4,2,2,49.33
OC(=O)c1cc(O)cc(O)c1,154.026608672,0.7959999999999998,1,3,3,77.76
CS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)N,250.0081988,-0.29449999999999993,3,4,2,106.33
CC(C(=O)O)S(=O)(=O)c1cc(Cl)c(C)cc1S(=O)(=O)N,340.979456784,0.54262,4,5,2,131.6
NCCc1ccc(O)c(O)c1,153.078978592,0.5989999999999998,2,3,3,66.48
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@@](C)(CC=C)C(=O)NO,403.247106536,2.209999999999999,11,4,4,107.53000000000002
CCCC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C,312.150763628,2.7349000000000006,5,3,2,89.26
CCOC(=O)c1ccc(O)c(O)c1,182.0579088,1.2744999999999997,2,4,2,66.76
CC(C)[C@@H](N(CC#N)S(=O)(=O)c1ccc(OCCF)cc1)C(=O)NO,373.11076995999997,1.07918,9,6,2,119.73
CCCCCCC(Sc1ccc(OCC#CC)cc1)C(=O)NO,335.15551466,4.0252000000000026,10,4,2,58.56
Cc1cc(c(cc1Cl)S(=O)(=O)CC(=O)NN)S(=O)(=O)N,340.990690164,-0.940579999999998,4,6,3,149.42000000000002
CCCNS(=O)(=O)c1ccc(N)cc1,214.077598688,0.9571000000000001,4,3,2,72.19
CN(C#N)N(C)C(=O)CNC(=O)OCc1ccccc1,276.12224037199996,0.6990799999999995,5,5,1,85.67
Oc1ccc(O)cc1,110.036779432,1.0977999999999999,0,2,2,40.46
CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1ccc(cc1Cl)S(=O)(=O)N,462.13335545599995,2.3459,11,6,4,136.54
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N,332.184840628,2.11378,7,5,1,85.67
CC(C)OC(=O)c1cc(O)cc(O)c1,196.073558864,1.6629999999999998,2,4,2,66.76
CC#CCOc1ccc(cc1)S(=O)(=O)NCC(=O)NO,298.062342548,-0.1275999999999996,6,5,3,104.73
CC(C)(C)C(=O)NCc1ccc(cc1)S(=O)(=O)N,270.103813436,0.9963,3,3,2,89.26
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(Br)cc1)C(=O)NCC#N,381.0688036,2.52468,5,4,2,91.22
CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1ccccc1)C(C)(C)C)[C@](C)(CC=C)C(=O)NO,431.278406664,3.906100000000002,10,4,4,107.53000000000002
CCCC(C(C)CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N,312.150763628,2.7349000000000006,7,3,2,89.26
OC(=O)c1ccc(O)cc1,138.031694052,1.0903999999999998,1,2,2,57.53
NS(=O)(=O)c1ccc(CCNC(=O)CCS)cc1,288.06023437199997,0.31259999999999943,6,4,3,89.25999999999999
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,414.1460721719999,1.5451,12,5,3,141.08
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,286.108420148,2.4254,8,4,3,70.59
CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)COP(=O)(O)O)c(F)c1,420.1825515299999,3.3302000000000014,13,5,4,131.11
Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1C,508.065630884,4.559140000000002,8,3,3,78.43
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCCO)CC(=O)NO,379.21072102799997,0.5243000000000004,12,5,5,127.76
O[As](=O)(O)c1ccccc1,201.961115584,-0.7524000000000004,1,1,2,57.53
COc1ccc(cc1)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O,360.97862525599993,-0.3875000000000002,6,5,5,170.45999999999998
Oc1cccc(O)c1,110.036779432,1.0977999999999999,0,2,2,40.46
ONC(=O)c1ccccc1,137.047678464,0.8055999999999999,1,2,2,49.33
NC(CCCN=C(N)N)C(=O)NC(=S)NCCc1ccc(cc1)S(=O)(=O)N,415.14602966,-1.7518999999999947,9,6,6,191.70999999999998
NS(=O)(=O)Oc1cccc(OS(=O)(=O)N)c1,267.982377976,-1.1488000000000005,4,6,2,138.78
OP(=O)(O)C(Nc1cccc(c1)[N+](=O)[O-])P(=O)(O)O,311.9912385399999,0.6456999999999995,5,5,5,170.23
ONC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccccc1,480.03433075600003,3.9423000000000012,8,3,3,78.43
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCc1ccc(O)cc1,409.298079488,7.154100000000008,16,2,2,49.33
COC(=O)\C(=C\C(=O)\C=C(/O)\c1ccccc1OC)\O,278.079038168,1.7780999999999998,5,6,2,93.06000000000002
CCOC(=O)c1cc(c(S)cc1Cl)S(=O)(=O)N,294.97397748000003,1.4528000000000003,3,5,2,86.46000000000001
CC(C)OC(=O)c1c(O)cccc1O,196.073558864,1.6629999999999996,2,4,2,66.76
Oc1ccccc1,94.041864812,1.3921999999999999,0,1,1,20.23
OP(=O)(O)C(Nc1ccc(F)c(c1)[N+](=O)[O-])P(=O)(O)O,329.98181672799996,0.7847999999999993,5,5,5,170.23
CCON(CC(=O)NO)S(=O)(=O)c1ccc(OC)cc1,304.07290723200003,0.14279999999999982,7,6,2,105.17
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO,336.9701772039999,-0.3435999999999994,4,5,2,114.53000000000002
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CS)C(=O)N,387.12864828,1.0108,10,5,3,109.57000000000001
CC(=O)NNc1ccccc1S(=O)(=O)N,229.052112212,-0.20299999999999996,3,4,3,101.29
CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N,463.2794692840001,0.370800000000004,15,6,6,176.64000000000001
COc1cccc(OC)c1C(=O)O,182.0579088,1.402,3,3,1,55.760000000000005
NNc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N,259.00386028,0.17600000000000038,2,4,3,98.21
CCCCCCOc1ccc(cc1)C(CC(=O)O)C(=O)N,293.16270821600006,2.6892999999999994,10,3,2,89.62
CC(NC(C)(C)C)C(=O)c1ccc(C)c(Cl)c1,253.12334194,3.6077200000000023,3,2,1,29.1
CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,329.129693836,2.313300000000001,9,5,2,92.7
CC[C@H](N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1)C(=O)NO,344.14059286799994,1.6259000000000001,8,5,2,95.94
ONC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(Cl)cc1,513.9953584040001,4.595700000000001,8,3,3,78.43
COc1ccc(CCNS(=O)(=O)N)cc1,230.072513308,0.03080000000000027,5,3,2,81.42
CC(NOCc1ccc(Cl)cc1)C(=O)NO,244.061469956,1.2550999999999999,5,4,3,70.59
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])P(=O)(O)O,375.9531387799999,-0.4879000000000003,6,6,5,204.36999999999998
CCOP(=O)(OCC)Oc1ccc(cc1)[N+](=O)[O-],275.055873798,3.154700000000002,7,6,0,87.9
CCOc1ccc(cc1)S(=O)(=O)N,201.045964212,0.7327000000000001,3,3,1,69.39
CCCCCCCCc1ccc(CCC(N)COP(=O)(O)O)cc1,357.2068951339999,3.9588000000000028,13,3,3,92.78
Cc1cc(c(cc1Cl)S(=O)(=O)CC(=O)O)S(=O)(=O)N,326.96380672,0.1541200000000003,4,5,2,131.6
CCCCOc1ccc(CC(=O)NO)cc1,223.120843404,1.9134,6,3,2,58.56
CCOP(=O)(N[C@H](CC(C)C)C(=O)NO)c1ccc(OC)cc1,344.15010852999995,2.059799999999999,9,5,3,96.89
CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)NC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)\C=C\S(=O)(=O)C,693.3771347200001,3.101100000000004,18,8,5,188.86999999999998
COc1ccc(CC(C)N)cc1,165.1153641,1.5849,3,2,1,35.25
CCCCCCCCc1ccc(CCC(N)CC(O)P(=O)(O)O)cc1,371.2225451979999,3.735700000000004,13,3,4,103.78
CC#CCOc1ccc(cc1)S(=O)(=O)C(C(C)C)C(=O)NO,325.098393708,1.3924,6,5,2,92.7
CCC(CC)C(=O)NCc1ccc(cc1)S(=O)(=O)N,284.1194635,1.3863999999999999,6,3,2,89.26
